日期,用电量,最高,最低,平均,节假日,周几,月份
20180911,11137.0,29.0,20.0,24.5,1,2,9
20180912,11886.0,29.0,21.0,25.0,1,3,9
20180913,12317.0,29.0,23.0,26.0,1,4,9
20180914,12232.0,29.0,23.0,26.0,1,5,9
20180915,6167.0,25.0,19.0,22.0,0.5,6,9
20180916,7387.0,26.0,16.0,21.0,0.5,7,9
20180917,9546.0,29.0,19.0,24.0,1,1,9
20180918,9771.0,25.0,19.0,22.0,1,2,9
20180919,9825.0,23.0,19.0,21.0,1,3,9
20180920,9912.0,24.0,17.0,20.5,1,4,9
20180921,9336.0,28.0,14.0,21.0,1,5,9
20180922,6928.0,26.0,13.0,19.5,0.5,6,9
20180923,6366.0,24.0,15.0,19.5,0.5,7,9
20180924,5823.0,24.0,14.0,19.0,1,1,9
20180925,8817.0,23.0,16.0,19.5,1,2,9
20180926,9229.0,24.0,15.0,19.5,1,3,9
20180927,8972.0,24.0,15.0,19.5,1,4,9
20180928,9028.0,25.0,13.0,19.0,1,5,9
20180929,8615.0,22.0,10.0,16.0,0.5,6,9
20180930,7485.0,22.0,11.0,16.5,0.5,7,9
20181001,5257.0,26.0,16.0,21.0,0.5,1,10
20181002,5261.0,26.0,12.0,19.0,1,2,10
20181003,5163.0,27.0,14.0,20.5,1,3,10
20181004,5133.0,27.0,14.0,20.5,1,4,10
20181005,5333.0,26.0,15.0,20.5,1,5,10
20181006,5314.0,22.0,9.0,15.5,0.5,6,10
20181007,5584.0,23.0,10.0,16.5,0.5,7,10
20181008,8043.0,22.0,12.0,17.0,1,1,10
20181009,8250.0,16.0,6.0,11.0,1,2,10
20181010,8454.0,18.0,9.0,13.5,1,3,10
20181011,8347.0,18.0,6.0,12.0,1,4,10
20181012,8492.0,17.0,12.0,14.5,1,5,10
20181013,6617.0,22.0,10.0,16.0,0.5,6,10
20181014,6513.0,21.0,12.0,16.5,0.5,7,10
